time,open,high,low,close,Volume,Volume MA
1685537700,83157754713,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
1685538000,83157754713,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
1685538300,83158586141,83158586141,83156923285,83157754713,24142435100.913902,24142435100.913895
1685538600,83157754713,83157754713,83156923285,83156923285,24142435100.913902,24142435100.913895
1685538900,83157754713,83157754713,83156923285,83156923285,24142435100.913902,24142435100.913895
1685539200,83156923285,83157754713,83156923285,83157754713,24142435100.913902,24142435100.913895
1685539500,83156923285,83157754713,83152766146,83153597574,24142435100.913902,24142435100.913895
1685539800,83153597574,83153597574,83152766146,83153597574,24142435100.913902,24142435100.913895
1685540100,83153597574,83155260430,83152766146,83154429002,24142435100.913902,24142435100.913895
1685540400,83154429002,83203455802,83154429002,83203455802,24142435100.913902,24142435100.913895
1685540700,83203455802,83203455802,83202623959,83203455802,24142435100.913902,24142435100.913895
1685541000,83203455802,83203455802,83202623959,83203455802,24142435100.913902,24142435100.913895
1685541300,83202623959,83203455802,83202623959,83202623959,24142435100.913902,24142435100.913895
1685541600,83202623959,83203455802,83202623959,83203455802,24142435100.913902,24142435100.913895
1685541900,83202623959,83203455802,83202623959,83202623959,24142435100.913902,24142435100.913895
1685542200,83202623959,83203455802,83202623959,83202623959,24142435100.913902,24142435100.913895
1685542500,83202623959,83206783175,83202623959,83205951332,24142435100.913902,24142435100.913895
1685542800,83205951332,83206783175,83205951332,83205951332,24142435100.913902,24142435100.913895
1685543100,83206783175,83230074786,83205951332,83210110548,24142435100.913902,24142435100.913895
1685543400,83209278705,83210110548,83209278705,83209278705,24142435100.913902,24142435100.913895
1685543700,83209278705,83210110548,83198464743,83199296586,24142435100.913902,24142435100.913895
1685544000,83199296586,83201792116,83198464743,83200960272,24142435100.913902,24142435100.913895
1685544300,83200960272,83201792116,83200960272,83201792116,24142435100.913902,24142435100.913895
1685544600,83200960272,83201792116,83200960272,83201792116,24142435100.913902,24142435100.913895
1685544900,83200960272,83200960272,83196801056,83200128429,24142435100.913902,24142435100.913895
1685545200,83200128429,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685545500,83199296586,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685545800,83199296586,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685546100,83199296586,83200128429,83199296586,83199296586,24142435100.913902,24142435100.913895
1685546400,83200128429,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685546700,83199296586,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685547000,83199296586,83200128429,83199296586,83199296586,24142435100.913902,24142435100.913895
1685547300,83199296586,83204287645,83199296586,83203455802,24142435100.913902,24142435100.913895
1685547600,83203455802,83205119489,83203455802,83204287645,24142435100.913902,24142435100.913895
1685547900,83204287645,83210110548,83204287645,83210110548,24142435100.913902,24142435100.913895
1685548200,83209278705,83210942391,83205119489,83205951332,24142435100.913902,24142435100.913895
1685548500,83205951332,83210110548,83205119489,83207615018,24142435100.913902,24142435100.913895
1685548800,83206783175,83208446861,83205119489,83207615018,24142435100.913902,24142435100.913895
1685549100,83207615018,83208446861,83202623959,83203455802,24142435100.913902,24142435100.913895
1685549400,83203455802,83204287645,83200960272,83202623959,24142435100.913902,24142435100.913895
1685549700,83202623959,83204287645,83200128429,83203455802,24142435100.913902,24142435100.913895
1685550000,83203455802,83205119489,83202623959,83203455802,24142435100.913902,24142435100.913895
1685550300,83203455802,83221756353,83203455802,83205119489,24142435100.913902,24142435100.913895
1685550600,83205119489,83205951332,83201792116,83201792116,24142435100.913902,24142435100.913895
1685550900,83201792116,83203455802,83197632899,83198464743,24142435100.913902,24142435100.913895
1685551200,83198464743,83199296586,83198464743,83199296586,24142435100.913902,24142435100.913895
1685551500,83199296586,83199296586,83197632899,83199296586,24142435100.913902,24142435100.913895
1685551800,83199296586,83202623959,83198464743,83200128429,24142435100.913902,24142435100.913895
1685552100,83200960272,83200960272,83197632899,83198464743,24142435100.913902,24142435100.913895
1685552400,83198464743,83198464743,83195969213,83196801056,24142435100.913902,24142435100.913895
1685552700,83196801056,83199296586,83195969213,83199296586,24142435100.913902,24142435100.913895
1685553000,83199296586,83199296586,83196801056,83197632899,24142435100.913902,24142435100.913895
1685553300,83197632899,83197632899,83194305526,83195137370,24142435100.913902,24142435100.913895
1685553600,83195137370,83197632899,83195137370,83195969213,24142435100.913902,24142435100.913895
1685553900,83195969213,83196801056,83192641840,83192641840,24142435100.913902,24142435100.913895
1685554200,83192641840,83194305526,83191809997,83193473683,24142435100.913902,24142435100.913895
1685554500,83192641840,83192641840,83190978154,83192641840,24142435100.913902,24142435100.913895
1685554800,83191809997,83194305526,83191809997,83193473683,24142435100.913902,24142435100.913895
1685555100,83193473683,83198464743,83193473683,83198464743,24142435100.913902,24142435100.913895
1685555400,83198464743,83202623959,83197632899,83200960272,24142435100.913902,24142435100.913895
1685555700,83200960272,83200960272,83198464743,83199296586,24142435100.913902,24142435100.913895
1685556000,83199296586,83200960272,83196801056,83200960272,24142435100.913902,24142435100.913895
1685556300,83200960272,83200960272,83194305526,83194305526,24142435100.913902,24142435100.913895
1685556600,83195137370,83195137370,83193473683,83194305526,24142435100.913902,24142435100.913895
1685556900,83194305526,83195137370,83193473683,83194305526,24142435100.913902,24142435100.913895
1685557200,83195137370,83195137370,83190978154,83191809997,24142435100.913902,24142435100.913895
1685557500,83190978154,83200960272,83190978154,83198464743,24142435100.913902,24142435100.913895
1685557800,83197632899,83199296586,83197632899,83199296586,24142435100.913902,24142435100.913895
1685558100,83199296586,83200128429,83198464743,83200128429,24142435100.913902,24142435100.913895
1685558400,83200128429,83200128429,83199296586,83199296586,24142435100.913902,24142435100.913895
1685558700,83200128429,83200128429,83199296586,83200128429,24142435100.913902,24142435100.913895
1685559000,83200128429,83200128429,83198464743,83199296586,24142435100.913902,24142435100.913895
1685559300,83199296586,83200128429,83197632899,83197632899,24142435100.913902,24142435100.913895
1685559600,83198464743,83200128429,83180996035,83181827878,24142435100.913902,24142435100.913895
1685559900,83181827878,83189314467,83180996035,83189314467,24142435100.913902,24142435100.913895
1685560200,83189314467,83189314467,83188482624,83188482624,24142435100.913902,24142435100.913895
1685560500,83189314467,83189314467,83188482624,83189314467,24142435100.913902,24142435100.913895
1685560800,83189314467,83189314467,83188482624,83189314467,24142435100.913902,24142435100.913895
1685561100,83189314467,83193473683,83188482624,83192641840,24142435100.913902,24142435100.913895
1685561400,83192641840,83195969213,83192641840,83194305526,24142435100.913902,24142435100.913895
1685561700,83193473683,83194305526,83193473683,83194305526,24142435100.913902,24142435100.913895
1685562000,83194305526,83196801056,83192641840,83196801056,24142435100.913902,24142435100.913895
1685562300,83196801056,83197632899,83195969213,83196801056,24142435100.913902,24142435100.913895
1685562600,83196801056,83197632899,83195969213,83195969213,24142435100.913902,24142435100.913895
1685562900,83195969213,83196801056,83195137370,83195969213,24142435100.913902,24142435100.913895
1685563200,83196801056,83196801056,83195969213,83196801056,24142435100.913902,24142435100.913895
1685563500,83195969213,83196801056,83195137370,83195137370,24142435100.913902,24142435100.913895
1685563800,83195137370,83195969213,83195137370,83195969213,24142435100.913902,24142435100.913895
1685564100,83195969213,83196801056,83195137370,83195969213,24142435100.913902,24142435100.913895
1685564400,83195969213,83196801056,83195969213,83196801056,24142435100.913902,24142435100.913895
1685564700,83195969213,83200128429,83195969213,83199296586,24142435100.913902,24142435100.913895
1685565000,83199296586,83200960272,83199296586,83200960272,24142435100.913902,24142435100.913895
1685565300,83200128429,83202623959,83200128429,83201792116,24142435100.913902,24142435100.913895
1685565600,83201792116,83203455802,83201792116,83201792116,24142435100.913902,24142435100.913895
1685565900,83201792116,83205119489,83201792116,83203455802,24142435100.913902,24142435100.913895
